agent_name,power_pair,count
consistent,AUSTRIA+ENGLAND,1
consistent,AUSTRIA+FRANCE,0
consistent,AUSTRIA+GERMANY,1
consistent,AUSTRIA+ITALY,0
consistent,AUSTRIA+RUSSIA,1
consistent,AUSTRIA+TURKEY,1
consistent,ENGLAND+FRANCE,2
consistent,ENGLAND+GERMANY,1
consistent,ENGLAND+ITALY,0
consistent,ENGLAND+RUSSIA,0
consistent,ENGLAND+TURKEY,0
consistent,FRANCE+GERMANY,2
consistent,FRANCE+ITALY,0
consistent,FRANCE+RUSSIA,0
consistent,FRANCE+TURKEY,1
consistent,GERMANY+ITALY,0
consistent,GERMANY+RUSSIA,1
consistent,GERMANY+TURKEY,0
consistent,ITALY+RUSSIA,1
consistent,ITALY+TURKEY,2
consistent,RUSSIA+TURKEY,1
cicero_nopress,AUSTRIA+ENGLAND,1
cicero_nopress,AUSTRIA+FRANCE,0
cicero_nopress,AUSTRIA+GERMANY,1
cicero_nopress,AUSTRIA+ITALY,0
cicero_nopress,AUSTRIA+RUSSIA,1
cicero_nopress,AUSTRIA+TURKEY,1
cicero_nopress,ENGLAND+FRANCE,2
cicero_nopress,ENGLAND+GERMANY,1
cicero_nopress,ENGLAND+ITALY,0
cicero_nopress,ENGLAND+RUSSIA,0
cicero_nopress,ENGLAND+TURKEY,0
cicero_nopress,FRANCE+GERMANY,2
cicero_nopress,FRANCE+ITALY,0
cicero_nopress,FRANCE+RUSSIA,0
cicero_nopress,FRANCE+TURKEY,1
cicero_nopress,GERMANY+ITALY,0
cicero_nopress,GERMANY+RUSSIA,1
cicero_nopress,GERMANY+TURKEY,0
cicero_nopress,ITALY+RUSSIA,1
cicero_nopress,ITALY+TURKEY,2
cicero_nopress,RUSSIA+TURKEY,1
dipnet,AUSTRIA+ENGLAND,1
dipnet,AUSTRIA+FRANCE,0
dipnet,AUSTRIA+GERMANY,1
dipnet,AUSTRIA+ITALY,0
dipnet,AUSTRIA+RUSSIA,1
dipnet,AUSTRIA+TURKEY,1
dipnet,ENGLAND+FRANCE,2
dipnet,ENGLAND+GERMANY,1
dipnet,ENGLAND+ITALY,0
dipnet,ENGLAND+RUSSIA,0
dipnet,ENGLAND+TURKEY,0
dipnet,FRANCE+GERMANY,2
dipnet,FRANCE+ITALY,0
dipnet,FRANCE+RUSSIA,0
dipnet,FRANCE+TURKEY,1
dipnet,GERMANY+ITALY,0
dipnet,GERMANY+RUSSIA,1
dipnet,GERMANY+TURKEY,0
dipnet,ITALY+RUSSIA,1
dipnet,ITALY+TURKEY,2
dipnet,RUSSIA+TURKEY,1
searchbot,AUSTRIA+ENGLAND,1
searchbot,AUSTRIA+FRANCE,0
searchbot,AUSTRIA+GERMANY,1
searchbot,AUSTRIA+ITALY,0
searchbot,AUSTRIA+RUSSIA,1
searchbot,AUSTRIA+TURKEY,1
searchbot,ENGLAND+FRANCE,2
searchbot,ENGLAND+GERMANY,1
searchbot,ENGLAND+ITALY,0
searchbot,ENGLAND+RUSSIA,0
searchbot,ENGLAND+TURKEY,0
searchbot,FRANCE+GERMANY,2
searchbot,FRANCE+ITALY,0
searchbot,FRANCE+RUSSIA,0
searchbot,FRANCE+TURKEY,1
searchbot,GERMANY+ITALY,0
searchbot,GERMANY+RUSSIA,1
searchbot,GERMANY+TURKEY,0
searchbot,ITALY+RUSSIA,1
searchbot,ITALY+TURKEY,2
searchbot,RUSSIA+TURKEY,1
